White,Black,Result,Opening,WhiteElo,BlackElo,TimeControl,MoveCount,AverageElo,EloBracket
dragansimic1946,aicho,0-1,Benoni Defense: Benoni Gambit Accepted,1685,1577.0,300+0,26,1631.0,Advanced
mchelken,dipo_a,1-0,French Defense: Knight Variation,1616,1421.0,180+0,33,1518.5,Intermediate
el_panuelo,Exotile,1-0,Mieses Opening,1629,2001.0,60+0,83,1815.0,Advanced
akner92val,dragansimic1946,1-0,Giuoco Piano,1562,1709.0,300+0,9,1635.5,Advanced
Beijamim,trom,0-1,East Indian Defense,1593,1761.0,180+0,90,1677.0,Advanced
mahdii,eldar63,0-1,Zukertort Opening: Kingside Fianchetto,1353,1270.0,600+10,68,1311.5,Intermediate
eugen66,cybermax,1-0,Queen's Gambit Declined: Queen's Knight Variation,1757,1724.0,180+0,73,1740.5,Advanced
trom,Beijamim,1-0,Philidor Defense: Morphy Gambit,1743,1614.0,180+0,35,1678.5,Advanced
nesa,OHL,1-0,Old Indian Defense,1842,1500.0,600+0,37,1671.0,Advanced
thonon,lstep,0-1,"English Opening: Symmetrical Variation, Fianchetto Variation",1534,1299.0,60+5,100,1416.5,Intermediate
matti,recollons,0-1,Indian Game,1532,1347.0,300+0,44,1439.5,Intermediate
oilmanesh,Maharaja,0-1,Scandinavian Defense: Mieses-Kotroc Variation,1899,1892.0,180+3,48,1895.5,Advanced
daskal,arash1313,0-1,Elephant Gambit,1584,1688.0,480+12,90,1636.0,Advanced
kameleon,TheCheck,1-0,Scandinavian Defense,1903,1626.0,120+0,89,1764.5,Advanced
danm,Da1m0n,1-0,Queen's Pawn,1272,1438.0,420+8,139,1355.0,Intermediate
kate_upton,TrialB,0-1,Queen's Gambit Declined,1854,1826.0,120+0,54,1840.0,Advanced
chez,D31283,1-0,Scandinavian Defense: Mieses-Kotroc Variation,1991,1782.0,180+3,83,1886.5,Advanced
willmentor,blackhorse,1-0,Philidor Defense,1835,1650.0,720+0,57,1742.5,Advanced
BOXPA,smit,1-0,Queen's Gambit Declined: Normal Defense,1681,1670.0,300+0,67,1675.5,Advanced
kraftmeier,TORRETON,1-0,Queen's Pawn Game: Colle System,2252,1922.0,300+0,113,2087.0,Expert
--o-o-o--,aroshka,0-1,"King's Pawn Game: Wayward Queen Attack, Kiddie Countergambit",1612,2012.0,480+1,50,1812.0,Advanced
steveboone,carlosrubenmendez,0-1,"Sicilian Defense: Sozin Attack, Leonhardt Variation",1595,1501.0,300+8,132,1548.0,Intermediate
ramin1313,ulpiano3005,0-1,Bishop's Opening: Berlin Defense,1258,1434.0,480+2,60,1346.0,Intermediate
maxou,warley,1-0,Sicilian Defense: Old Sicilian,1391,1393.0,300+0,45,1392.0,Intermediate
Maharaja,oilmanesh,0-1,Alekhine Defense: The Squirrel,1916,1888.0,180+3,92,1902.0,Advanced
JohnRoberts,Walter1,1-0,Bird Opening,1703,1569.0,420+0,91,1636.0,Advanced
chu128,SheldonRampton,0-1,Semi-Slav Defense,1483,1305.0,300+2,76,1394.0,Intermediate
delp01,scubadvr2,1-0,Sicilian Defense,1062,1363.0,420+0,79,1212.5,Intermediate
Gota,kate_upton,0-1,Scandinavian Defense: Mieses-Kotroc Variation,1504,1809.0,60+0,36,1656.5,Advanced
TheCheck,kameleon,1/2-1/2,"King's Gambit Accepted, Polerio Gambit",1622,1907.0,120+0,78,1764.5,Advanced
thonon,NanoT,1-0,English Opening: Great Snake Variation,1516,1293.0,60+5,183,1404.5,Intermediate
dipo_a,mchelken,0-1,King's Gambit,1415,1622.0,180+0,82,1518.5,Intermediate
ekine,jpsoto,0-1,Queen's Gambit Declined,1793,1918.0,240+0,84,1855.5,Advanced
eugen66,Semmel,1-0,Queen's Gambit Declined: Alekhine Variation,1768,1480.0,120+3,49,1624.0,Advanced
besugue,chanakya,1-0,Bishop's Opening: Berlin Defense,1516,1307.0,300+1,101,1411.5,Intermediate
dusann,cybermax,1-0,Danish Gambit,1784,1713.0,180+2,71,1748.5,Advanced
recollons,matti,0-1,English Opening: King's English Variation,1364,1516.0,300+0,76,1440.0,Intermediate
trom,Beijamim,0-1,Philidor Defense: Morphy Gambit,1775,1576.0,180+0,104,1675.5,Advanced
TrialB,mushin,0-1,Horwitz Defense,1837,1806.0,120+0,124,1821.5,Advanced
